event,n,clusters,unique25,unique75
0.0,628,clusters,0.6162420382165605,0.7277070063694268
1.0,180,clusters,0.35,0.5666666666666667
2.0,245,clusters,0.5102040816326531,0.6571428571428571
3.0,271,clusters,0.6568265682656826,0.8044280442804428
4.0,127,clusters,0.48031496062992124,0.5433070866141733
5.0,113,clusters,0.48672566371681414,0.6106194690265486
6.0,321,clusters,0.632398753894081,0.7071651090342679
8.0,115,clusters,0.48695652173913045,0.5739130434782609
9.0,96,clusters,0.4791666666666667,0.5729166666666666
10.0,88,clusters,0.375,0.5227272727272727
12.0,120,clusters,0.525,0.6583333333333333
14.0,96,clusters,0.65625,0.7395833333333334
15.0,76,clusters,0.5131578947368421,0.6578947368421053
16.0,75,clusters,0.4666666666666667,0.6266666666666667
17.0,65,clusters,0.5692307692307692,0.676923076923077
19.0,83,clusters,0.5903614457831325,0.6626506024096386
20.0,54,clusters,0.5,0.6481481481481481
21.0,58,clusters,0.39655172413793105,0.5517241379310345
22.0,47,clusters,0.5957446808510638,0.6808510638297872
23.0,58,clusters,0.6379310344827587,0.7413793103448276
24.0,54,clusters,0.7962962962962963,0.8333333333333334
25.0,58,clusters,0.46551724137931033,0.5172413793103449
26.0,44,clusters,0.5,0.6363636363636364
27.0,55,clusters,0.7636363636363637,0.8363636363636363
28.0,54,clusters,0.7407407407407407,0.7777777777777778
29.0,50,clusters,0.44,0.56
31.0,72,clusters,0.7638888888888888,0.8194444444444444
32.0,42,clusters,0.6904761904761905,0.8095238095238095
33.0,33,clusters,0.48484848484848486,0.7272727272727273
34.0,31,clusters,0.3870967741935484,0.6129032258064516
35.0,34,clusters,0.5588235294117647,0.6176470588235294
36.0,51,clusters,0.6470588235294118,0.8235294117647058
37.0,41,clusters,0.5853658536585366,0.7804878048780488
38.0,33,clusters,0.42424242424242425,0.48484848484848486
39.0,33,clusters,0.45454545454545453,0.5151515151515151
40.0,41,clusters,0.4878048780487805,0.6097560975609756
41.0,36,clusters,0.5555555555555556,0.6944444444444444
42.0,26,clusters,0.4230769230769231,0.46153846153846156
43.0,32,clusters,0.71875,0.71875
44.0,51,clusters,0.5294117647058824,0.6274509803921569
45.0,23,clusters,0.5652173913043478,0.782608695652174
46.0,22,clusters,0.7727272727272727,0.9545454545454546
47.0,20,clusters,0.05,0.05
49.0,70,clusters,0.7,0.7857142857142857
50.0,24,clusters,0.375,0.6666666666666666
51.0,21,clusters,0.23809523809523808,0.2857142857142857
53.0,40,clusters,0.525,0.725
54.0,19,clusters,0.3157894736842105,0.7368421052631579
55.0,23,clusters,0.6521739130434783,0.6521739130434783
56.0,23,clusters,0.391304347826087,0.43478260869565216
